Subject,Block,WaitTime,Accuracy
16058,3,medium,0.8571428571428571
16058,3,long,0.5714285714285714
16059,1,none,1
16059,1,short,0.8571428571428571
16059,1,medium,1
16059,1,long,0.5714285714285714
16059,2,none,0
16059,2,short,0.2857142857142857
16059,2,medium,0.5714285714285714
16059,2,long,0.7142857142857143
16059,3,none,1
16059,3,short,0.42857142857142855
16059,3,medium,0.8571428571428571
16059,3,long,0.5714285714285714
16060,1,none,1
16060,1,short,0.8571428571428571
16060,1,medium,0.8571428571428571
16060,1,long,0.7142857142857143
16060,2,none,1
16060,2,short,0.8571428571428571
16060,2,medium,0.7142857142857143
16060,2,long,0.5714285714285714
16060,3,none,1
16060,3,short,0.7142857142857143
16060,3,medium,0.8571428571428571
16060,3,long,0.5714285714285714
16061,1,none,1
16061,1,short,1
16061,1,medium,1
16061,1,long,0.8571428571428571
16061,2,none,1
16061,2,short,1
16061,2,medium,0.8571428571428571
16061,2,long,1
16061,3,none,1
16061,3,short,1
16061,3,medium,1
16061,3,long,0.8571428571428571
16062,1,none,1
16062,1,short,1
16062,1,medium,1
16062,1,long,1
16062,2,none,1
16062,2,short,1
16062,2,medium,1
16062,2,long,1
16062,3,none,1
16062,3,short,1
16062,3,medium,1
16062,3,long,1
16063,1,none,1
16063,1,short,1
16063,1,medium,0.8571428571428571
16063,1,long,0.7142857142857143
16063,2,none,1
16063,2,short,0.8571428571428571
16063,2,medium,0.5714285714285714
16063,2,long,0.7142857142857143
16063,3,none,1
16063,3,short,0.5714285714285714
16063,3,medium,0.14285714285714285
16063,3,long,0.5714285714285714
16064,1,none,1
16064,1,short,0.7142857142857143
16064,1,medium,1
16064,1,long,0.8571428571428571
16064,2,none,1
16064,2,short,0.8571428571428571
16064,2,medium,0.5714285714285714
16064,2,long,0.5714285714285714
16064,3,none,1
16064,3,short,1
16064,3,medium,0.2857142857142857
16064,3,long,0.5714285714285714
16065,1,none,1
16065,1,short,1
16065,1,medium,1
16065,1,long,0.8571428571428571
16065,2,none,1
16065,2,short,1
16065,2,medium,1
16065,2,long,0.8571428571428571
16065,3,none,1
16065,3,short,1
16065,3,medium,1
16065,3,long,0.5714285714285714
16066,1,none,1
16066,1,short,0.8571428571428571
16066,1,medium,0.8571428571428571
16066,1,long,0.7142857142857143
16066,2,none,1
16066,2,short,0.8571428571428571
16066,2,medium,0.7142857142857143
16066,2,long,0.42857142857142855
16066,3,none,1
16066,3,short,1
16066,3,medium,0.42857142857142855
16066,3,long,0.8571428571428571
16067,1,none,1
16067,1,short,1
16067,1,medium,1
16067,1,long,0.8571428571428571
16067,2,none,1
16067,2,short,1
16067,2,medium,1
16067,2,long,1
16067,3,none,1
16067,3,short,1
16067,3,medium,1
16067,3,long,0.8571428571428571
16068,1,none,1
16068,1,short,1
16068,1,medium,1
16068,1,long,0.8571428571428571
16068,2,none,1
16068,2,short,0.8571428571428571
16068,2,medium,1
16068,2,long,0.8571428571428571
16068,3,none,1
16068,3,short,1
16068,3,medium,0.7142857142857143
16068,3,long,0.8571428571428571
16070,1,none,1
16070,1,short,0.8571428571428571
16070,1,medium,1
16070,1,long,1
16070,2,none,1
16070,2,short,1
16070,2,medium,1
16070,2,long,1
16070,3,none,1
16070,3,short,1
16070,3,medium,0.8571428571428571
16070,3,long,1
16071,1,none,1
16071,1,short,0.8571428571428571
16071,1,medium,0.8571428571428571
16071,1,long,0.7142857142857143
16071,2,none,1
16071,2,short,1
16071,2,medium,0.8571428571428571
16071,2,long,0.7142857142857143
16071,3,none,1
16071,3,short,0.8571428571428571
16071,3,medium,0.42857142857142855
16071,3,long,0.42857142857142855
16072,1,none,1
16072,1,short,1
16072,1,medium,1
16072,1,long,1
16072,2,none,1
16072,2,short,1
16072,2,medium,1
16072,2,long,1
16072,3,none,1
16072,3,short,1
16072,3,medium,1
